epoch,train_acc,test_acc
1,0.8144774688398849,0.9004329004329005
2,0.886385426653883,0.6536796536796536
3,0.8897411313518696,0.935064935064935
4,0.9137104506232023,0.9437229437229437
5,0.9185043144774688,0.9090909090909091
6,0.9338446788111218,0.9437229437229437
7,0.9429530201342282,0.9177489177489178
8,0.9525407478427612,0.8917748917748918
9,0.9482262703739214,0.9264069264069265
10,0.9482262703739214,0.9783549783549783
11,0.9707574304889741,0.9177489177489178
12,0.9721955896452541,0.974025974025974
13,0.9813039309683605,0.9826839826839827
14,0.9817833173537871,0.9826839826839827
15,0.9832214765100671,0.987012987012987
16,0.9841802492809204,0.9826839826839827
17,0.9904122722914669,0.9826839826839827
18,0.9865771812080537,0.9783549783549783
19,0.9894534995206136,0.9783549783549783
20,0.9894534995206136,0.9826839826839827
